order_id,product_id,quantity,unit_price
O00000001,P0096,2,1297.17
O00000001,P0024,3,2386.21
O00000001,P0231,2,1558.1
O00000002,P0216,2,2967.22
O00000002,P0166,1,1102.77
O00000002,P0001,2,1576.72
O00000002,P0192,2,1173.24
O00000003,P0219,1,2603.32
O00000003,P0079,2,1078.04
O00000003,P0077,1,943.45
O00000003,P0005,2,1040.13
O00000004,P0024,3,2386.21
O00000004,P0167,3,944.72
O00000004,P0240,1,1359.96
O00000004,P0078,1,1105.87
O00000005,P0200,3,1198.68
O00000005,P0065,1,2491.47
O00000005,P0122,2,1374.87
O00000005,P0220,1,1349.18
O00000006,P0171,1,881.55
O00000006,P0030,1,834.57
O00000006,P0191,3,736.76
O00000006,P0097,1,710.37
O00000007,P0123,2,766.79
O00000008,P0082,3,1125.87
O00000008,P0092,1,1379.51
O00000009,P0129,2,1270.55
O00000009,P0175,3,756.22
O00000009,P0070,3,1647.58
O00000010,P0103,1,2083.49
O00000010,P0203,3,1627.91
O00000010,P0136,3,427.26
O00000010,P0016,3,1036.88
O00000011,P0162,3,579.09
O00000011,P0129,3,1270.55
O00000012,P0056,1,783.95
O00000012,P0156,1,3409.06
O00000012,P0114,3,1864.14
O00000013,P0120,2,784.1
O00000013,P0206,2,633.65
O00000013,P0169,2,1249.31
O00000013,P0237,3,1098.27
O00000014,P0080,1,557.04
O00000014,P0016,3,1036.88
O00000014,P0228,2,4068.51
O00000014,P0098,2,1030.77
O00000015,P0109,3,996.17
O00000015,P0183,3,1537.83
O00000015,P0236,1,730.24
O00000016,P0162,1,579.09
O00000016,P0085,1,727.77
O00000017,P0217,2,2241.21
O00000017,P0136,3,427.26
O00000017,P0202,3,1300.21
O00000017,P0044,2,1236.69
O00000018,P0076,2,3072.66
O00000018,P0032,3,1633.29
O00000018,P0124,2,788.45
O00000019,P0019,2,1268.11
O00000019,P0060,3,1273.56
O00000020,P0146,2,1090.97
O00000020,P0071,3,1400.47
O00000020,P0124,1,788.45
O00000021,P0180,2,1202.34
O00000021,P0084,1,1196.56
O00000022,P0161,1,583.24
O00000022,P0185,2,1397.72
O00000022,P0205,3,600.42
O00000022,P0121,3,1121.76
O00000023,P0185,3,1397.72
O00000023,P0110,2,658.22
O00000024,P0151,1,770.75
O00000025,P0160,3,1207.7
O00000025,P0038,1,1347.65
O00000025,P0232,1,1004.13
O00000025,P0112,3,1006.06
O00000026,P0033,3,2028.39
O00000027,P0091,1,1277.43
O00000027,P0129,2,1270.55
O00000027,P0022,2,724.91
O00000027,P0124,2,788.45
O00000028,P0084,2,1196.56
O00000028,P0006,2,1175.55
O00000028,P0126,1,739.47
O00000029,P0046,3,1011.73
O00000029,P0076,1,3072.66
O00000029,P0191,2,736.76
O00000030,P0085,3,727.77
O00000030,P0004,2,801.94
O00000030,P0161,3,583.24
O00000031,P0163,1,1029.98
O00000031,P0027,3,949.2
O00000031,P0240,1,1359.96
O00000032,P0167,1,944.72
O00000033,P0233,1,1451.4
O00000033,P0183,1,1537.83
O00000033,P0140,1,535.53
O00000034,P0108,2,753.42
O00000034,P0093,2,616.35
O00000035,P0150,2,2411.03
O00000035,P0193,3,1193.75
O00000035,P0145,2,588.81
O00000036,P0204,3,2640.45
O00000036,P0029,2,1280.8
O00000036,P0196,2,1927.03
O00000037,P0168,2,4016.82
O00000037,P0038,1,1347.65
O00000038,P0103,2,2083.49
O00000038,P0137,1,1059.36
O00000038,P0165,3,1939.7
O00000039,P0035,1,1150.72
O00000039,P0077,1,943.45
O00000039,P0104,3,1858.84
O00000039,P0031,2,966.55
O00000040,P0189,2,922.16
O00000040,P0072,2,2571.49
O00000041,P0175,2,756.22
O00000041,P0056,2,783.95
O00000042,P0188,2,3691.66
O00000043,P0164,1,810.27
O00000043,P0031,2,966.55
O00000044,P0049,2,1238.18
O00000044,P0067,1,753.87
O00000044,P0101,1,869.15
O00000045,P0161,3,583.24
O00000045,P0234,2,907.05
O00000045,P0235,3,2572.91
O00000045,P0101,1,869.15
O00000046,P0117,1,1294.94
O00000046,P0140,2,535.53
O00000046,P0083,1,774.56
O00000047,P0041,3,1610.53
O00000047,P0145,1,588.81
O00000047,P0056,2,783.95
O00000047,P0072,3,2571.49
O00000048,P0167,2,944.72
O00000048,P0035,1,1150.72
O00000048,P0239,2,1314.56
O00000048,P0133,2,1209.76
O00000049,P0207,1,522.65
O00000049,P0106,1,937.09
O00000049,P0078,2,1105.87
O00000049,P0100,3,1204.25
O00000050,P0173,3,761.55
O00000051,P0176,3,1258.27
O00000051,P0102,2,2356.27
O00000051,P0153,2,831.71
O00000052,P0219,2,2603.32
O00000052,P0050,1,2220.64
O00000052,P0101,3,869.15
O00000052,P0173,3,761.55
O00000053,P0045,2,1012.2
O00000054,P0167,2,944.72
O00000054,P0103,1,2083.49
O00000054,P0001,1,1576.72
O00000054,P0066,1,1366.37
O00000055,P0188,3,3691.66
O00000055,P0214,1,2075.44
O00000055,P0206,3,633.65
O00000055,P0011,2,1385.57
O00000056,P0115,3,1376.59
O00000056,P0151,3,770.75
O00000057,P0088,2,3017.91
O00000057,P0240,1,1359.96
O00000058,P0025,3,1618.84
O00000058,P0223,2,803.39
O00000058,P0136,2,427.26
O00000059,P0093,3,616.35
O00000059,P0159,3,2800.5
O00000059,P0028,3,1194.55
O00000059,P0111,1,1340.4
O00000060,P0025,1,1618.84
O00000060,P0126,1,739.47
O00000060,P0040,2,858.36
O00000060,P0122,3,1374.87
O00000061,P0009,2,857.42
O00000061,P0026,1,815.52
O00000061,P0216,3,2967.22
O00000062,P0056,1,783.95
O00000063,P0117,3,1294.94
O00000063,P0092,2,1379.51
O00000063,P0199,2,936.25
O00000063,P0170,3,847.9
O00000064,P0189,3,922.16
O00000065,P0174,1,1102.11
O00000065,P0052,3,3026.72
O00000066,P0175,1,756.22
O00000067,P0155,2,293.12
O00000067,P0180,3,1202.34
O00000068,P0200,1,1198.68
O00000068,P0038,1,1347.65
O00000068,P0012,3,571.27
O00000069,P0115,1,1376.59
O00000069,P0023,3,1915.99
O00000069,P0183,1,1537.83
O00000070,P0240,2,1359.96
O00000070,P0119,2,899.61
O00000070,P0195,2,3036.5
O00000071,P0165,2,1939.7
O00000072,P0230,3,1302.25
O00000072,P0138,1,987.18
O00000072,P0124,2,788.45
O00000072,P0035,3,1150.72
O00000073,P0124,3,788.45
O00000073,P0212,3,1029.88
O00000073,P0064,2,2785.68
O00000074,P0062,3,2524.52
O00000074,P0155,3,293.12
O00000074,P0174,3,1102.11
O00000075,P0031,3,966.55
O00000075,P0010,1,2175.92
O00000075,P0001,1,1576.72
O00000075,P0021,1,1132.03
O00000076,P0179,1,1949.16
O00000076,P0159,3,2800.5
O00000076,P0152,1,1585.12
O00000077,P0119,1,899.61
O00000077,P0125,3,283.73
O00000077,P0045,3,1012.2
