date,campaign_id,channel,spend,impressions,clicks,attributed_sessions,attributed_orders,attributed_revenue,CPC,CTR,CVR,ROAS,CAC_proxy
2025-07-04,C001,search,26312.21,100619,2173,140,3,28706.370000000003,12.11,0.0216,0.0214,1.09,8770.74
2025-07-04,C002,search,21647.84,87070,3103,140,4,17676.27,6.98,0.0356,0.0286,0.82,5411.96
2025-07-04,C003,search,22354.06,92590,1931,140,9,55752.119999999995,11.58,0.0209,0.0643,2.49,2483.78
2025-07-04,C004,search,26270.94,112017,3485,140,7,33388.35,7.54,0.0311,0.05,1.27,3752.99
2025-07-04,C005,search,22875.24,88620,2460,140,3,25908.7,9.3,0.0278,0.0214,1.13,7625.08
2025-07-04,C006,search,27508.7,129011,2721,140,5,23315.24,10.11,0.0211,0.0357,0.85,5501.74
2025-07-04,C007,search,21624.88,98425,3779,140,7,41437.36,5.72,0.0384,0.05,1.92,3089.27
2025-07-04,C008,search,19663.84,75399,2210,140,5,17777.77,8.9,0.0293,0.0357,0.9,3932.77
2025-07-04,C009,paid_social,22482.26,101822,1725,140,5,20696.51,13.03,0.0169,0.0357,0.92,4496.45
2025-07-04,C010,paid_social,25994.98,156358,2858,140,2,10171.71,9.1,0.0183,0.0143,0.39,12997.49
2025-07-04,C011,paid_social,22820.7,128630,2162,140,5,22293.32,10.56,0.0168,0.0357,0.98,4564.14
2025-07-04,C012,paid_social,23728.79,121898,1271,108,4,21633.63,18.67,0.0104,0.037,0.91,5932.2
2025-07-04,C013,paid_social,15889.01,92102,1970,140,6,43604.15,8.07,0.0214,0.0429,2.74,2648.17
2025-07-04,C014,paid_social,16972.71,84148,1256,88,2,9046.25,13.51,0.0149,0.0227,0.53,8486.36
2025-07-04,C015,paid_social,19634.72,116525,2920,140,3,10177.949999999999,6.72,0.0251,0.0214,0.52,6544.91
2025-07-04,C016,paid_social,10409.44,54750,1039,95,3,14822.76,10.02,0.019,0.0316,1.42,3469.81
2025-07-04,C017,email,2955.66,66466,308,28,0,0.0,9.6,0.0046,0.0,0.0,0.0
2025-07-04,C018,email,1252.44,64966,1158,108,10,59881.42,1.08,0.0178,0.0926,47.81,125.24
2025-07-04,C019,email,2521.59,65708,537,63,2,6323.780000000001,4.7,0.0082,0.0317,2.51,1260.8
