session_id,user_id,session_ts,device,channel,campaign_id,is_new_user,purchase_flag,order_id,gross_revenue,discount,net_revenue,session_to_order_minutes
S00396372,,2025-07-04 00:00:10,web,paid_social,C016,0,0,,0.0,0.0,0.0,0.0
S00167965,U001680,2025-07-04 00:00:17,mobile,search,C007,0,0,,0.0,0.0,0.0,0.0
S00224072,U001941,2025-07-04 00:00:36,web,paid_social,C009,0,0,,0.0,0.0,0.0,0.0
S00140062,U000587,2025-07-04 00:01:22,web,search,C006,0,1,O00004154,992.86,137.81,964.63,5.766666666666667
S00056499,U002376,2025-07-04 00:01:38,mobile,search,C003,0,0,,0.0,0.0,0.0,0.0
S00550101,U002197,2025-07-04 00:01:38,web,organic,C034,0,0,,0.0,0.0,0.0,0.0
S00273883,U002390,2025-07-04 00:02:07,mobile,paid_social,C011,0,0,,0.0,0.0,0.0,0.0
S00323165,U000704,2025-07-04 00:02:09,web,paid_social,C013,0,0,,0.0,0.0,0.0,0.0
S00580257,U000041,2025-07-04 00:02:11,mobile,organic,C036,0,0,,0.0,0.0,0.0,0.0
S00000127,U001332,2025-07-04 00:02:25,mobile,search,C001,0,0,,0.0,0.0,0.0,0.0
S00248621,U002492,2025-07-04 00:02:47,web,paid_social,C010,0,0,,0.0,0.0,0.0,0.0
S00396288,U001975,2025-07-04 00:02:49,mobile,paid_social,C016,0,0,,0.0,0.0,0.0,0.0
S00372498,U001196,2025-07-04 00:03:25,web,paid_social,C015,0,0,,0.0,0.0,0.0,0.0
S00641943,U001185,2025-07-04 00:04:00,web,organic,C040,0,0,,0.0,0.0,0.0,0.0
S00323173,U002208,2025-07-04 00:04:00,mobile,paid_social,C013,0,0,,0.0,0.0,0.0,0.0
S00248627,U001764,2025-07-04 00:04:13,mobile,paid_social,C010,0,0,,0.0,0.0,0.0,0.0
S00550110,U002362,2025-07-04 00:04:23,web,organic,C034,0,0,,0.0,0.0,0.0,0.0
S00167969,U001390,2025-07-04 00:04:28,mobile,search,C007,0,0,,0.0,0.0,0.0,0.0
S00298428,U001208,2025-07-04 00:05:11,web,paid_social,C012,0,0,,0.0,0.0,0.0,0.0
S00490314,U000243,2025-07-04 00:05:14,mobile,referral,C025,0,0,,0.0,0.0,0.0,0.0
S00248646,U001388,2025-07-04 00:05:43,mobile,paid_social,C010,0,0,,0.0,0.0,0.0,0.0
S00084456,U001864,2025-07-04 00:05:47,mobile,search,C004,0,0,,0.0,0.0,0.0,0.0
S00224054,U001390,2025-07-04 00:06:12,web,paid_social,C009,0,0,,0.0,0.0,0.0,0.0
S00028010,,2025-07-04 00:06:14,mobile,search,C002,0,0,,0.0,0.0,0.0,0.0
S00167990,,2025-07-04 00:06:18,mobile,search,C007,0,0,,0.0,0.0,0.0,0.0
S00140039,U000268,2025-07-04 00:08:09,web,search,C006,0,0,,0.0,0.0,0.0,0.0
S00224033,,2025-07-04 00:09:40,mobile,paid_social,C009,0,0,,0.0,0.0,0.0,0.0
S00641981,U001669,2025-07-04 00:10:07,web,organic,C040,0,0,,0.0,0.0,0.0,0.0
S00550172,,2025-07-04 00:10:17,mobile,organic,C034,0,0,,0.0,0.0,0.0,0.0
S00273782,U001629,2025-07-04 00:10:28,mobile,paid_social,C011,0,0,,0.0,0.0,0.0,0.0
S00420706,,2025-07-04 00:11:34,mobile,email,C017,0,0,,0.0,0.0,0.0,0.0
S00429768,U000100,2025-07-04 00:11:36,mobile,email,C018,0,0,,0.0,0.0,0.0,0.0
S00084355,U000242,2025-07-04 00:12:23,web,search,C004,0,0,,0.0,0.0,0.0,0.0
S00028006,U000549,2025-07-04 00:12:27,mobile,search,C002,0,0,,0.0,0.0,0.0,0.0
S00529855,U000783,2025-07-04 00:13:47,mobile,referral,C032,0,0,,0.0,0.0,0.0,0.0
S00273865,U000855,2025-07-04 00:13:50,web,paid_social,C011,0,0,,0.0,0.0,0.0,0.0
S00273826,U000520,2025-07-04 00:14:48,web,paid_social,C011,0,0,,0.0,0.0,0.0,0.0
S00429728,U001665,2025-07-04 00:14:52,web,email,C018,0,0,,0.0,0.0,0.0,0.0
S00168059,U000498,2025-07-04 00:15:29,mobile,search,C007,0,1,O00005006,1738.3,130.04,1666.72,11.133333333333333
S00641934,U000404,2025-07-04 00:16:01,mobile,organic,C040,0,0,,0.0,0.0,0.0,0.0
S00580228,U001087,2025-07-04 00:17:02,mobile,organic,C036,0,0,,0.0,0.0,0.0,0.0
S00168061,,2025-07-04 00:17:35,mobile,search,C007,0,0,,0.0,0.0,0.0,0.0
S00473075,U000030,2025-07-04 00:17:52,,email,C023,0,0,,0.0,0.0,0.0,0.0
S00027942,U001760,2025-07-04 00:18:10,mobile,search,C002,0,0,,0.0,0.0,0.0,0.0
